reviewerID,first_interaction,last_interaction,frequency,monetary,avg_rating,distinct_categories,recency,customer_age_T,r_score,f_score,m_score,rfm_segment,rfm_composite_score,cluster,pca_x,pca_y,pca_z,is_outlier,centroid_distance,clv_pred,p_active,churn_probability,expected_transactions_1y,projected_clv_1y,churn_risk_level,persona,priority_level,marketing_strategy,preferred_channel,discount_incentive
A000127M,2024-03-19,2025-06-28,3,376.49,3.6666666666666665,3,187,653,2,1,1,211,1.4000000000000001,1,-1.5605,0.2315,0.3455,False,0.882,102.1,0.625,0.375,1.05,121.87,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000128X,2025-05-06,2025-05-06,1,86.14,5.0,1,240,240,2,1,1,211,1.4000000000000001,1,-2.4051,2.4089,1.5477,False,2.313,164.63,0.599,0.401,0.91,72.62,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000129Z,2025-09-05,2025-12-20,23,3154.0299999999997,4.086956521739131,23,12,118,4,5,5,455,4.6,3,2.0847,-0.5895,-0.027,False,0.765,3953.98,0.457,0.543,23.84,3027.33,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000130X,2025-06-27,2025-12-28,5,488.3,3.8,5,4,188,5,2,2,522,3.2,2,-0.2073,0.9774,-0.8745,False,0.588,1151.63,0.753,0.247,7.31,661.02,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000131J,2025-07-30,2025-12-24,4,522.53,4.5,4,8,155,4,2,2,422,2.8000000000000003,2,-0.0726,1.5384,-0.0046,False,1.1,1232.59,0.738,0.262,6.95,840.66,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000132U,2024-03-12,2025-12-31,16,1644.67,4.1875,16,1,660,5,5,4,554,4.7,3,1.8388,0.4721,-0.7146,False,1.004,624.36,0.765,0.235,6.77,644.31,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000133N,2025-09-05,2025-12-23,27,3096.85,4.703703703703703,27,9,118,4,5,5,455,4.6,3,2.5903,-0.0316,0.4588,False,1.042,3887.62,0.543,0.457,28.3,3005.59,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000134W,2024-09-07,2025-10-02,7,1101.0,4.142857142857143,7,91,481,3,2,3,323,2.7,0,0.1045,0.0105,0.6315,False,1.15,408.94,0.535,0.465,2.84,413.93,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000135M,2024-03-08,2025-08-29,2,71.45,3.5,2,125,664,2,1,1,211,1.4000000000000001,1,-2.8363,1.0531,-0.0835,False,0.739,134.74,0.711,0.289,0.78,25.85,Low,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000136D,2024-01-21,2025-11-14,9,1191.62,4.555555555555555,9,48,711,3,3,3,333,3.0,3,0.6991,0.3979,0.7968,False,1.197,332.92,0.671,0.329,3.1,380.22,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000137X,2025-07-14,2025-12-31,6,699.3199999999999,3.6666666666666665,6,1,171,5,2,2,522,3.2,2,0.2718,0.8576,-1.3174,False,0.557,1339.98,0.763,0.237,9.78,1055.25,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000138H,2024-04-05,2024-11-17,8,1357.96,3.25,8,410,636,1,3,4,134,2.5,0,-0.461,-1.3634,0.3921,False,0.384,33.77,0.051,0.949,0.23,36.72,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000139R,2024-01-29,2025-12-02,14,2101.79,3.857142857142857,14,30,703,3,4,5,345,3.9000000000000004,3,1.1227,-0.5935,0.0325,False,0.756,567.27,0.673,0.327,4.89,680.07,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000140A,2024-01-30,2024-01-30,1,191.09,5.0,1,702,702,1,1,1,111,1.0,1,-2.1421,1.7862,2.0053,False,2.22,2.27,0.599,0.401,0.31,55.08,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000141V,2024-02-13,2025-11-05,2,382.77,1.5,2,57,688,3,1,1,311,1.8000000000000003,1,-2.7018,-1.2941,-2.1494,False,2.986,235.66,0.744,0.256,0.79,139.91,Low,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000142T,2024-02-26,2025-08-17,7,728.14,4.428571428571429,7,137,675,2,2,2,222,2.0,0,-0.0864,0.3426,1.0291,False,1.549,158.94,0.516,0.484,1.95,188.06,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000143L,2025-10-04,2025-12-31,4,371.11,3.75,4,1,89,5,2,1,521,2.9,2,-0.3643,1.3942,-1.302,False,1.04,1414.13,0.762,0.238,12.5,1073.93,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000144V,2024-05-28,2025-12-18,11,1330.98,4.090909090909091,11,14,583,4,4,4,444,4.0,3,0.9281,0.135,-0.0709,False,0.72,603.92,0.729,0.271,5.02,562.34,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000145H,2024-06-13,2025-10-21,8,1024.77,4.25,8,72,567,3,3,3,333,3.0,0,0.2671,0.135,0.6473,False,1.328,367.81,0.596,0.404,3.07,363.82,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000146W,2025-09-04,2025-12-24,22,2927.41,4.2272727272727275,22,8,119,4,5,5,455,4.6,3,2.1554,-0.3071,-0.0444,False,0.648,3680.86,0.571,0.429,29.77,3667.98,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000147C,2024-01-26,2024-11-03,7,907.61,3.0,7,424,706,1,2,3,123,1.9,0,-0.9526,-1.3635,0.1386,False,0.758,21.32,0.103,0.897,0.37,44.8,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000148W,2025-08-18,2025-12-31,6,660.11,3.3333333333333335,6,1,136,5,2,2,522,3.2,2,0.0579,0.5759,-1.6322,False,0.964,1430.0,0.762,0.238,12.27,1250.28,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000149Q,2025-09-12,2025-12-30,26,3269.7200000000003,4.461538461538462,26,2,111,5,5,5,555,5.0,3,2.7208,0.0623,-0.2282,False,1.177,4496.18,0.725,0.275,37.82,4404.42,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000150Y,2024-02-25,2025-12-27,9,1015.88,4.222222222222222,9,5,676,4,3,3,433,3.4,2,0.8703,0.7168,-0.3289,False,0.69,452.29,0.759,0.241,3.69,385.44,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000151K,2024-01-05,2025-11-10,3,404.76,3.3333333333333335,3,52,727,3,1,1,311,1.8000000000000003,1,-1.4233,0.2299,-0.4467,False,1.176,224.14,0.737,0.263,1.11,138.6,Low,Potential Loyalists,Medium (Activate),Offer membership/loyalty program onboarding and recommend category bestsellers.,Automated Onboarding Email Drip,10% - 15% on second/third purchase
A000152W,2024-01-27,2025-12-25,10,1547.6299999999999,4.0,10,7,705,4,3,4,434,3.7,3,1.0332,0.2025,-0.3941,False,0.804,525.63,0.754,0.246,3.9,559.46,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000153P,2025-09-09,2025-12-28,13,1767.72,4.538461538461538,13,4,114,5,4,5,545,4.7,3,1.7097,0.6298,-0.0455,False,0.678,2356.83,0.697,0.303,29.03,3654.92,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000154D,2025-07-18,2025-12-23,7,784.36,4.0,7,9,167,4,2,2,422,2.8000000000000003,2,0.2914,0.613,-0.3726,False,0.479,1323.71,0.711,0.289,10.87,1127.93,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000155E,2025-12-01,2025-12-01,1,65.22,1.0,1,31,31,3,1,1,311,1.8000000000000003,1,-4.2809,-0.6155,-2.9794,False,3.87,1157.51,0.599,0.401,7.05,425.69,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000156B,2024-01-17,2025-12-22,15,1920.92,3.533333333333333,15,10,715,4,5,5,455,4.6,3,1.1702,-0.6141,-0.6677,False,1.086,583.87,0.737,0.263,5.65,669.48,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000157B,2024-06-04,2024-12-01,5,732.54,3.6,5,396,576,1,2,2,122,1.6,0,-0.9964,-0.5405,0.6392,False,0.899,32.83,0.175,0.825,0.55,75.25,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000158K,2024-03-10,2025-02-21,11,1305.08,3.090909090909091,11,314,662,2,4,4,244,3.2,0,-0.2683,-1.5837,0.1602,False,0.589,60.3,0.05,0.95,0.3,33.31,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000159R,2024-01-09,2025-12-31,11,1136.19,4.090909090909091,11,1,723,5,4,3,543,4.1,2,1.26,0.7373,-0.8525,False,0.913,436.5,0.766,0.234,4.26,407.01,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000160D,2024-03-23,2025-03-12,10,1277.78,4.0,10,295,649,2,3,4,234,2.9,0,0.1431,-0.6734,0.9781,False,0.863,70.42,0.08,0.92,0.45,53.53,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000161D,2024-01-19,2025-12-08,11,1273.1100000000001,4.454545454545454,11,24,713,3,4,4,344,3.6000000000000005,3,0.9856,0.3528,0.4619,False,0.792,404.05,0.712,0.288,4.01,429.5,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000162H,2024-02-22,2025-03-12,10,991.02,3.8,10,295,679,2,3,3,233,2.5999999999999996,0,-0.1217,-0.7485,0.776,False,0.557,57.79,0.093,0.907,0.5,45.95,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000163T,2024-01-04,2025-01-01,9,1144.48,3.111111111111111,9,365,728,1,3,3,133,2.1999999999999997,0,-0.5268,-1.4463,0.2154,False,0.494,33.82,0.082,0.918,0.37,43.79,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000164E,2025-07-25,2025-12-31,9,1304.0900000000001,3.888888888888889,9,1,160,5,3,4,534,4.1,2,1.0821,0.5949,-1.0463,False,0.822,1781.02,0.76,0.24,15.61,2094.65,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000165N,2025-09-03,2025-12-25,25,3884.75,4.6,25,7,120,4,5,5,455,4.6,3,2.6602,-0.1232,0.2846,False,1.074,5599.94,0.599,0.401,31.22,4491.53,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000166Q,2024-12-01,2025-08-09,3,409.88,2.6666666666666665,3,145,396,2,1,1,211,1.4000000000000001,1,-1.9879,-0.6572,-0.6805,False,1.526,254.86,0.58,0.42,1.6,202.76,Medium,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000167M,2024-03-04,2025-12-29,12,1408.6,4.25,12,3,668,5,4,4,544,4.4,3,1.3989,0.5627,-0.4195,False,0.824,551.05,0.761,0.239,4.99,542.17,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000168X,2024-01-29,2025-12-12,8,788.04,4.125,8,20,703,4,3,2,432,3.1,2,0.3032,0.463,0.0374,False,0.907,346.4,0.735,0.265,3.05,278.29,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000169Z,2025-09-04,2025-12-12,25,3538.42,4.48,25,20,119,4,5,5,455,4.6,3,2.332,-0.4495,0.5367,False,0.941,4394.2,0.252,0.748,13.16,1724.94,High,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000170Y,2025-07-07,2025-12-31,8,768.34,4.125,8,1,178,5,3,2,532,3.5,2,0.7896,1.0976,-0.8651,False,0.492,1350.48,0.762,0.238,12.5,1111.72,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000171T,2024-02-03,2025-02-27,9,1098.49,3.3333333333333335,9,308,698,2,3,3,233,2.5999999999999996,0,-0.3974,-1.1795,0.3557,False,0.188,53.07,0.122,0.878,0.57,64.69,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000172P,2025-09-02,2025-12-28,12,1614.0,4.083333333333333,12,4,121,5,4,4,544,4.4,3,1.3468,0.292,-0.4816,False,0.731,2172.44,0.707,0.293,25.61,3188.85,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000173U,2025-08-17,2025-12-31,6,764.19,3.5,6,1,137,5,2,2,522,3.2,2,0.2379,0.6665,-1.4678,False,0.741,1494.0,0.762,0.238,12.18,1436.94,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000174Z,2024-01-03,2025-12-25,12,1638.46,3.5833333333333335,12,7,729,4,4,4,444,4.0,3,0.9888,-0.2989,-0.7677,False,1.123,513.91,0.752,0.248,4.52,571.0,Low,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000175Z,2024-02-16,2025-02-27,11,1541.96,2.8181818181818183,11,308,685,2,4,4,244,3.2,0,-0.3061,-1.9008,-0.0919,False,0.975,66.18,0.06,0.94,0.35,45.42,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000176E,2024-01-03,2025-11-28,13,1578.95,3.8461538461538463,13,34,729,3,4,4,344,3.6000000000000005,3,0.8542,-0.4746,0.0466,False,0.881,412.78,0.671,0.329,4.37,491.53,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000177P,2024-01-03,2025-01-23,11,1154.9,3.4545454545454546,11,343,729,1,4,3,143,2.5,0,-0.1689,-1.2204,0.5264,False,0.314,39.31,0.05,0.95,0.28,26.87,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000178W,2024-03-15,2025-08-29,7,933.37,3.7142857142857144,7,125,657,2,2,3,223,2.3,0,-0.2942,-0.3962,0.3418,False,0.624,197.59,0.534,0.466,2.08,256.19,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000179D,2024-03-28,2024-03-28,1,139.21,4.0,1,644,644,1,1,1,111,1.0,1,-2.8535,1.0245,1.0192,False,1.082,3.82,0.599,0.401,0.34,43.74,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000180R,2025-09-03,2025-12-24,24,2819.2999999999997,4.583333333333333,24,8,120,4,5,5,455,4.6,3,2.3934,-0.0104,0.2921,False,0.808,3478.3,0.571,0.429,29.77,3238.15,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000181V,2024-02-28,2025-11-14,9,1329.01,3.6666666666666665,9,48,673,3,3,4,334,3.3,0,0.2922,-0.4661,-0.0271,False,0.886,386.94,0.665,0.335,3.25,443.94,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000182P,2025-09-11,2025-12-16,13,1254.3899999999999,4.230769230769231,13,16,112,4,4,4,444,4.0,3,1.0708,0.1692,0.1154,False,0.563,1733.57,0.429,0.571,18.18,1624.03,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000183J,2024-01-23,2024-01-23,1,49.29,4.0,1,709,709,1,1,1,111,1.0,1,-3.5118,1.4383,0.9945,False,1.665,1.99,0.599,0.401,0.31,14.07,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000184B,2024-01-22,2024-01-22,1,47.75,3.0,1,710,710,1,1,1,111,1.0,1,-4.0654,0.5319,0.059,False,1.701,1.97,0.599,0.401,0.31,13.61,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000185Y,2024-03-07,2025-11-07,8,1057.26,4.125,8,55,665,3,3,3,333,3.0,0,0.2763,0.077,0.4308,False,1.245,333.83,0.662,0.338,2.91,355.52,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000186M,2024-01-28,2025-02-05,14,1953.33,2.7142857142857144,14,330,704,1,4,5,145,3.1,0,-0.0388,-2.2411,-0.1321,False,1.331,64.46,0.05,0.95,0.36,46.89,High,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000187G,2024-08-28,2025-03-11,2,198.55,3.0,2,296,491,2,1,1,211,1.4000000000000001,1,-2.6563,-0.0681,-0.1614,False,0.758,64.47,0.559,0.441,0.83,76.34,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000188Q,2025-09-09,2025-12-31,6,832.94,4.666666666666667,6,1,114,5,2,2,522,3.2,2,0.9144,1.7022,-0.3727,False,1.07,1625.94,0.761,0.239,14.62,1879.03,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000189Q,2025-07-02,2025-11-06,7,935.9100000000001,4.0,7,56,183,3,2,3,323,2.7,0,0.0295,0.0757,0.3049,False,1.145,980.13,0.374,0.626,5.23,647.01,Medium,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000190H,2024-08-02,2025-11-02,9,1276.44,3.7777777777777777,9,60,517,3,3,4,334,3.3,0,0.2797,-0.4047,0.1582,False,0.864,501.68,0.59,0.41,3.75,492.39,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000191M,2025-09-06,2025-12-19,22,2915.7,4.2727272727272725,22,13,117,4,5,5,455,4.6,3,2.0828,-0.3808,0.1671,False,0.604,3552.15,0.429,0.571,22.37,2745.38,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000192D,2024-02-28,2024-06-24,2,63.67,2.0,2,556,673,1,1,1,111,1.0,1,-4.0254,-0.6716,-0.9222,False,2.332,6.37,0.47,0.53,0.51,15.01,Medium,Critical Reviewers,High (Service Recovery),Proactive customer success contact to resolve friction and collect feedback.,Direct Customer Support Outreach,Apology credit / Replacement support voucher
A000193X,2024-05-12,2025-02-04,2,292.27,4.0,2,331,599,1,1,1,111,1.0,1,-1.9066,0.6568,0.8387,False,0.813,40.76,0.578,0.422,0.7,95.37,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
A000194M,2024-04-15,2024-12-29,6,717.11,3.3333333333333335,6,368,626,1,2,2,122,1.6,0,-1.0048,-0.8438,0.372,False,0.724,35.17,0.165,0.835,0.58,63.87,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000195T,2024-02-10,2025-12-29,7,604.62,3.7142857142857144,7,3,691,5,2,2,522,3.2,2,0.1728,0.7048,-1.0062,False,0.349,371.32,0.764,0.236,2.83,225.98,Low,Loyal Customers,High (Nurture & Expand),Upsell higher-tier products and cross-sell accessories in related categories.,Targeted Email Newsletter & In-App Banners,10% on bundles or loyalty point multipliers
A000196W,2024-02-14,2025-11-05,9,1416.65,3.5555555555555554,9,57,687,3,3,4,334,3.3,0,0.2365,-0.6403,-0.0625,False,0.766,365.39,0.646,0.354,3.09,450.38,Medium,Champions (VIPs),High (Preserve & Delight),"Reward loyalty with exclusive early access, VIP beta programs, and personal perks.",Dedicated VIP Email & Personal Concierge,0% - 5% (Focus on exclusivity rather than deep discounts)
A000197M,2024-02-04,2025-01-18,13,1408.98,3.076923076923077,13,348,697,1,4,4,144,2.8,0,-0.1184,-1.7431,0.2023,False,0.757,45.51,0.05,0.95,0.34,34.16,High,At-Risk Customers,Critical (Win Back Immediately),"Urgent win-back campaigns, personalized reactivation discounts, and satisfaction surveys.",SMS Alert + Re-engagement Email Series,20% - 25% Time-limited reactivation coupon
A000198B,2024-06-23,2024-06-23,1,23.97,5.0,1,557,557,1,1,1,111,1.0,1,-3.3618,2.7216,1.7945,False,2.887,8.2,0.599,0.401,0.39,8.71,Medium,Hibernating / Casuals,Low (Low Touch),Automated low-cost liquidation campaigns or seasonal clearance alerts.,Mass Marketing / Retargeting Ads,Standard clearance promos (avoid expensive direct sales outreach)
